id,name,category,price
1,Oversized Hoodie,Tops,39.99
2,Baggy Jeans,Bottoms,49.99
3,White Sneakers,Footwear,59.9
4,Pearl Necklace,Accessories,22
5,Chunky Boots,Footwear,79.99
6,Canvas Tote Bag,Accessories,19.9
7,Classic T-Shirt,Tops,19.99
8,Cargo Pants,Bottoms,44.5
9,Ankle Heels,Footwear,69.99
10,Leather Belt,Accessories,25.99
11,High-Waisted Trousers,Bottoms,42
12,Vintage Blouse,Tops,29.5
13,Beaded Bracelet,Accessories,14.99
14,Platform Sandals,Footwear,49
15,Black Top,Tops,24.99
16,Loafers,Footwear,54.5
17,Plaid Skirt,Bottoms,27.99
19,Knit Sweater,Tops,34.9
21,Silver Hoop Earrings,Accessories,18.5
22,Cotton Shorts,Bottoms,25
18,Minimalist Watch,Accessories,39
20,Sneakers (Alt White),Footwear,59.9
23,Embroidered Cap,Accessories,21.5
24,Wool Beanie,Headwear,15.99
25,Baseball Cap,Headwear,18.5
26,Bucket Hat,Headwear,21
27,Wide-Brim Hat,Headwear,27.99
28,Knitted Headband,Headwear,12.75
